# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#      3334	            Omega	  1.67245	0.00000e+00	4	1	 -3	0	0	0	 -1	  1	3.56854e-07
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    3.18276e-01	    1.67245e+00	    2.56957e-06	    2.59723e-06	    2.57621e-07	    2.92910e-07	    2.60590e-07	    4.30808e-06	    4.37730e-06	    3.03687e-05	    3.08015e-05	    8.14127e-07	    8.78479e-07	    8.23227e-07
    3.22273e-01	    1.67245e+00	    2.58845e-06	    2.61629e-06	    2.66077e-07	    3.01620e-07	    2.69141e-07	    4.33314e-06	    4.40278e-06	    3.06053e-05	    3.10411e-05	    8.30412e-07	    8.94420e-07	    8.39688e-07
    3.26279e-01	    1.67245e+00	    2.60694e-06	    2.63496e-06	    2.74686e-07	    3.10477e-07	    2.77848e-07	    4.35737e-06	    4.42742e-06	    3.08377e-05	    3.12765e-05	    8.46748e-07	    9.10409e-07	    8.56201e-07
    3.30295e-01	    1.67245e+00	    2.62505e-06	    2.65325e-06	    2.83449e-07	    3.19483e-07	    2.86710e-07	    4.38078e-06	    4.45121e-06	    3.10660e-05	    3.15077e-05	    8.63130e-07	    9.26440e-07	    8.72759e-07
    3.34321e-01	    1.67245e+00	    2.64277e-06	    2.67114e-06	    2.92365e-07	    3.28637e-07	    2.95727e-07	    4.40334e-06	    4.47416e-06	    3.12901e-05	    3.17346e-05	    8.79553e-07	    9.42510e-07	    8.89360e-07
    3.38356e-01	    1.67245e+00	    2.66010e-06	    2.68864e-06	    3.01434e-07	    3.37937e-07	    3.04898e-07	    4.42507e-06	    4.49625e-06	    3.15100e-05	    3.19571e-05	    8.96012e-07	    9.58613e-07	    9.05996e-07
    3.42401e-01	    1.67245e+00	    2.67703e-06	    2.70573e-06	    3.10654e-07	    3.47384e-07	    3.14222e-07	    4.44595e-06	    4.51748e-06	    3.17256e-05	    3.21754e-05	    9.12502e-07	    9.74745e-07	    9.22664e-07
    3.46456e-01	    1.67245e+00	    2.69357e-06	    2.72242e-06	    3.20026e-07	    3.56977e-07	    3.23699e-07	    4.46598e-06	    4.53785e-06	    3.19368e-05	    3.23892e-05	    9.29019e-07	    9.90900e-07	    9.39358e-07
    3.50522e-01	    1.67245e+00	    2.70970e-06	    2.73871e-06	    3.29548e-07	    3.66714e-07	    3.33329e-07	    4.48516e-06	    4.55736e-06	    3.21437e-05	    3.25986e-05	    9.45558e-07	    1.00707e-06	    9.56073e-07
    3.54597e-01	    1.67245e+00	    2.72543e-06	    2.75459e-06	    3.39220e-07	    3.76595e-07	    3.43109e-07	    4.50348e-06	    4.57599e-06	    3.23462e-05	    3.28035e-05	    9.62112e-07	    1.02326e-06	    9.72805e-07
