# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#       321	               K+	  0.49400	0.00000e+00	1	0	  1	0	0	0.5	  1	  1	0.000115181
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    3.34321e-01	    4.94000e-01	    8.30093e-03	    1.04100e-02	    1.27566e-03	    2.25392e-03	    1.56740e-03	    2.18868e-03	    4.10994e-03	    4.74614e-02	    6.61641e-02	    3.10041e-03	    4.73736e-03	    3.85714e-03
    3.38356e-01	    4.94000e-01	    8.25556e-03	    1.03466e-02	    1.29244e-03	    2.26481e-03	    1.58744e-03	    2.12654e-03	    4.02824e-03	    4.72621e-02	    6.58469e-02	    3.11420e-03	    4.72388e-03	    3.87255e-03
    3.42401e-01	    4.94000e-01	    8.20827e-03	    1.02808e-02	    1.30882e-03	    2.27508e-03	    1.60697e-03	    2.06438e-03	    3.94617e-03	    4.70528e-02	    6.55152e-02	    3.12691e-03	    4.70953e-03	    3.88660e-03
    3.46456e-01	    4.94000e-01	    8.15914e-03	    1.02127e-02	    1.32479e-03	    2.28475e-03	    1.62598e-03	    2.00224e-03	    3.86380e-03	    4.68337e-02	    6.51693e-02	    3.13855e-03	    4.69431e-03	    3.89928e-03
    3.50522e-01	    4.94000e-01	    8.10822e-03	    1.01424e-02	    1.34034e-03	    2.29381e-03	    1.64446e-03	    1.94019e-03	    3.78122e-03	    4.66053e-02	    6.48097e-02	    3.14912e-03	    4.67824e-03	    3.91061e-03
    3.54597e-01	    4.94000e-01	    8.05558e-03	    1.00700e-02	    1.35547e-03	    2.30226e-03	    1.66241e-03	    1.87827e-03	    3.69850e-03	    4.63679e-02	    6.44370e-02	    3.15863e-03	    4.66133e-03	    3.92059e-03
    3.58684e-01	    4.94000e-01	    8.00128e-03	    9.99555e-03	    1.37017e-03	    2.31011e-03	    1.67982e-03	    1.81654e-03	    3.61570e-03	    4.61216e-02	    6.40515e-02	    3.16709e-03	    4.64360e-03	    3.92925e-03
    3.62781e-01	    4.94000e-01	    7.94537e-03	    9.91913e-03	    1.38444e-03	    2.31735e-03	    1.69668e-03	    1.75504e-03	    3.53289e-03	    4.58668e-02	    6.36537e-02	    3.17451e-03	    4.62505e-03	    3.93660e-03
    3.66888e-01	    4.94000e-01	    7.88791e-03	    9.84083e-03	    1.39827e-03	    2.32400e-03	    1.71299e-03	    1.69382e-03	    3.45014e-03	    4.56039e-02	    6.32440e-02	    3.18090e-03	    4.60571e-03	    3.94265e-03
    3.71007e-01	    4.94000e-01	    7.82898e-03	    9.76074e-03	    1.41166e-03	    2.33004e-03	    1.72875e-03	    1.63293e-03	    3.36750e-03	    4.53330e-02	    6.28228e-02	    3.18628e-03	    4.58558e-03	    3.94742e-03
    3.75137e-01	    4.94000e-01	    7.76861e-03	    9.67891e-03	    1.42460e-03	    2.33550e-03	    1.74395e-03	    1.57240e-03	    3.28505e-03	    4.50544e-02	    6.23906e-02	    3.19065e-03	    4.56469e-03	    3.95092e-03
    3.79278e-01	    4.94000e-01	    7.70687e-03	    9.59544e-03	    1.43710e-03	    2.34037e-03	    1.75860e-03	    1.51229e-03	    3.20283e-03	    4.47685e-02	    6.19477e-02	    3.19402e-03	    4.54304e-03	    3.95317e-03
    3.83430e-01	    4.94000e-01	    7.64383e-03	    9.51040e-03	    1.44915e-03	    2.34466e-03	    1.77268e-03	    1.45263e-03	    3.12090e-03	    4.44755e-02	    6.14947e-02	    3.19642e-03	    4.52066e-03	    3.95418e-03
    3.87594e-01	    4.94000e-01	    7.57952e-03	    9.42386e-03	    1.46075e-03	    2.34836e-03	    1.78620e-03	    1.39345e-03	    3.03932e-03	    4.41757e-02	    6.10319e-02	    3.19784e-03	    4.49755e-03	    3.95398e-03
    3.91770e-01	    4.94000e-01	    7.51402e-03	    9.33590e-03	    1.47190e-03	    2.35150e-03	    1.79917e-03	    1.33480e-03	    2.95814e-03	    4.38693e-02	    6.05597e-02	    3.19831e-03	    4.47374e-03	    3.95258e-03
